class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Aves,Passeriformes,Tyrannidae,Tachurí Barbado,5229775,Polystictus pectoralis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/76257624/original.jpeg,https://es.wikipedia.org/wiki/Polystictus_pectoralis
Aves,Anseriformes,Anatidae,Bronze-Winged Duck,2498322,Speculanas specularis,NT,https://static.inaturalist.org/photos/213753839/original.jpg,https://es.wikipedia.org/wiki/Speculanas_specularis
Aves,Accipitriformes,Accipitridae,Águila De Azara,7661920,Buteogallus coronatus,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/27997355/original.jpg,https://es.wikipedia.org/wiki/Buteogallus_coronatus
Aves,Piciformes,Picidae,Picamaderos Chaqueño,5228823,Dryocopus schulzii,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/31656273/original.jpeg,https://es.wikipedia.org/wiki/Dryocopus_schulzii
Aves,Charadriiformes,Scolopacidae,"Playero Rojo, Playero Pecho Rufo",2481765,Calidris canutus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/236294/original.jpg,https://es.wikipedia.org/wiki/Calidris_canutus
Aves,Passeriformes,Thraupidae,Ibera Seedeater,8821048,Sporophila iberaensis,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/91142426/original.jpg,https://es.wikipedia.org/wiki/Sporophila_iberaensis
Aves,Passeriformes,Furnariidae,Canastero Enano,2485840,Spartonoica maluroides,NT,https://static.inaturalist.org/photos/111819961/original.jpg,https://es.wikipedia.org/wiki/Spartonoica_maluroides
Aves,Apodiformes,Apodidae,Vencejo Parduzco,2477287,Cypseloides rothschildi,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/30742124/original.jpeg,https://es.wikipedia.org/wiki/Cypseloides_rothschildi
Aves,Sphenisciformes,Spheniscidae,Pingüino Saltarrocas Meridional,2481635,Eudyptes chrysocome,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/106794932/original.jpg,https://es.wikipedia.org/wiki/Eudyptes_chrysocome
Aves,Passeriformes,Motacillidae,Bisbita Ocre,2490271,Anthus nattereri,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/21851686/original.jpg,https://es.wikipedia.org/wiki/Anthus_nattereri
Aves,Piciformes,Ramphastidae,Arasarí Banana,5789361,Pteroglossus bailloni,NT,https://static.inaturalist.org/photos/54050379/original.jpg,https://es.wikipedia.org/wiki/Pteroglossus_bailloni
Aves,Passeriformes,Tyrannidae,Salinas Monjita,5789127,Neoxolmis salinarum,NT,https://static.inaturalist.org/photos/161335275/original.jpg,https://es.wikipedia.org/wiki/Neoxolmis_salinarum
Aves,Passeriformes,Furnariidae,Espinero Tacuatí,2485780,Clibanornis dendrocolaptoides,NT,https://static.inaturalist.org/photos/31041301/original.jpeg,https://es.wikipedia.org/wiki/Clibanornis_dendrocolaptoides
Aves,Passeriformes,Furnariidae,Canastero Pampeano,5230053,Asthenes hudsoni,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/4338441/original.jpeg,https://es.wikipedia.org/wiki/Asthenes_hudsoni
Aves,Gruiformes,Rallidae,Focha Cornuda,2474389,Fulica cornuta,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/243533410/original.jpg,https://es.wikipedia.org/wiki/Fulica_cornuta
Mammalia,Primates,Atelidae,Aullador Negro   Chongón   Aullador Negro   Mono   Mono Negro   Mono Cotudo,2436649,Alouatta palliata,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/187746639/original.jpeg,https://es.wikipedia.org/wiki/Alouatta_palliata
Aves,Charadriiformes,Scolopacidae,Correlimos Canelo,8292425,Calidris subruficollis,NT,https://static.inaturalist.org/photos/28935803/original.jpg,https://es.wikipedia.org/wiki/Calidris_subruficollis
